"No","Code","Agency_en","Type_en","InstrumentShortName_en","InstrumentLongName_en"
211.00,"590","NOAA","Radiometer","AVHRR/2","Advanced very high-resolution radiometer/2",
212.00,"591","NOAA","Radiometer","AVHRR/3","Advanced very high-resolution radiometer/3",
213.00,"592","NOAA","Radiometer","AVHRR/4","Advanced very high-resolution radiometer/4",
214.00,"600","NOAA","Radiometer","ERBE","Earth's radiation budget experiment",
215.00,"601","NOAA","Radiometer","ETM+","Enhanced thematic mapper",
216.00,"604","NOAA","Radiometer","HIRS/1","High-resolution infrared sounder/1",
217.00,"605","NOAA","Radiometer","HIRS/2","High-resolution infrared sounder/2",
218.00,"606","NOAA","Radiometer","HIRS/3","High-resolution infrared sounder/3",
219.00,"607","NOAA","Radiometer","HIRS/4","High-resolution infrared sounder/4",
220.00,"615","NOAA","Radiometer","IMAGER","Imager",
221.00,"616","NOAA","Imaging multi-spectral radiometer (vis/IR)","VIIRS","Visible/infrared imager radiometer suite",
222.00,"617","NOAA","Imaging multi-spectral radiometer","ABI","Advanced baseline imager",
223.00,"618","NOAA","High-resolution optical imager","GLM","Geostationary lightning mapper",
224.00,"620","NOAA","Atmospheric temperature and humidity sounder","CrIRS/NP","Cross-track infrared sounder/NPOESS",
225.00,"621","NOAA","Atmospheric temperature and humidity sounder","ATMS","Advanced technology microwave sounder",
226.00,"622","NOAA","Radiometer","MSS","Multispectral scanning system",
227.00,"623","NOAA","Radiometer","MSU","Microwave sounding unit",
228.00,"624","NOAA","Radiometer","SBUV/2","Solar backscatter ultraviolet instrument/2",
229.00,"625","NOAA","Radiometer","SBUV/3","Solar backscatter ultraviolet instrument/3",
230.00,"626","NOAA","Radiometer","SOUNDER","SOUNDER",
231.00,"627","NOAA","Radiometer","SSU","Stratospheric sounding unit",
232.00,"628","NOAA","Radiometer","TM","Thematic mapper",
233.00,"629","NOAA","Radiometer","TOVS (HIRS/2 + MSU + SSU)","TIROS operational vertical sounder",
234.00,"630","NOAA","Radiometer","VAS","VISSR atmospheric sounder",
235.00,"631","NOAA","Radiometer","SSZ",,
236.00,"645","NOAA","Spectrometer","SEM","Space environment monitor",
237.00,"650","NRSCC","Radiometer","MVIRSR (10 channel)","Multispectral visible and infrared scan radiometer",
238.00,"651","NRSCC","Radiometer","MVIRSR (3 channel)","Multispectral visible and infrared scan radiometer",
239.00,"652","NRSCC","Radiometer","MVIRSR (5 channel)","Multispectral visible and infrared scan radiometer",
240.00,"670","NSAU","Radar","RLSBO","Side looking microwave radar",
241.00,"680","NSAU","High-resolution optical imager","MSU-EU","Multispectral radiometer with high-resolution",
242.00,"681","NSAU","Imaging multi-spectral radiometer (vis/IR)","MSU-UM","Visible multispectral radiometer",
243.00,"682","NSAU","Radiometer","RM-08","Imaging microwave radiometer",
244.00,"683","NSAU","High-resolution optical imager","SU-UMS","Stereo radiometer with high-resolution",
245.00,"684","NSAU","High-resolution optical imager","SU-VR","Visible radiometer with high-resolution",
246.00,"685","NSAU","Radiometer","TRASSER",,
247.00,"686","SOA","Scatterometer","SCAT","Scatterometer",
248.00,"687","SOA","Radar altimeter","ALT","Radar altimeter",
249.00,"688","SOA","Microwave radiometer","MWI","Microwave radiometer",
250.00,"700","ROSCOSMOS","Communications","KONDOR-2","Data-collection and transmission system",
251.00,"701","ROSCOSMOS","Communications","BRK",,
252.00,"710","ROSCOSMOS","Lidar","ALISSA","Backscatter lidar",
253.00,"712","ROSCOSMOS","Lidar","Balkan-2 lidar",,
254.00,"715","ROSCOSMOS","Lidar","MK-4",,
255.00,"716","ROSCOSMOS","Lidar","MK-4M",,
256.00,"730","ROSCOSMOS","Radar","Greben","Radar altimeter",
257.00,"731","ROSCOSMOS","Radar","SAR-10","Synthetic aperture radar",
258.00,"732","ROSCOSMOS","Radar","SAR-3","Synthetic aperture radar",
259.00,"733","ROSCOSMOS","Radar","SAR-70","Synthetic aperture radar",
260.00,"740","ROSCOSMOS","Radar","SLR-3","Side looking radar",
261.00,"745","ROSCOSMOS","Radar","Travers SAR",,
262.00,"750","ROSCOSMOS","Radiometer","174-K","Temperature and humidity profiler",
263.00,"751","ROSCOSMOS","Radiometer","BTVK","Scanning television radiometer",
264.00,"752","ROSCOSMOS","Radiometer","Chaika","Scanning infrared radiometer",
265.00,"753","ROSCOSMOS","Radiometer","DELTA-2","Multispectral microwave scanner",
266.00,"755","ROSCOSMOS","Radiometer","IKAR-D","Multispectral microwave scanner",
267.00,"756","ROSCOSMOS","Radiometer","IKAR-N","Multispectral microwave scanner",
268.00,"757","ROSCOSMOS","Radiometer","IKAR-P","Multispectral microwave scanner",
269.00,"760","ROSCOSMOS","Radiometer","ISP",,
270.00,"761","ROSCOSMOS","Radiometer","KFA-1000","Photographic camera",
271.00,"762","ROSCOSMOS","Radiometer","KFA-200","Photographic camera",
272.00,"763","ROSCOSMOS","Radiometer","KFA-3000","Photographic camera",
273.00,"770","ROSCOSMOS","Radiometer","Klimat","Scanning infrared radiometer",
274.00,"771","ROSCOSMOS","Radiometer","Klimat-2","Scanning infrared radiometer",
275.00,"775","ROSCOSMOS","Radiometer","MIRAS",,
276.00,"776","ROSCOSMOS","Radiometer","MIVZA",,
277.00,"777","ROSCOSMOS","Radiometer","MIVZA-M","Microwave scanning radiometer",
278.00,"780","ROSCOSMOS","Radiometer","MR-2000",,
279.00,"781","ROSCOSMOS","Radiometer","MR-2000M",,
280.00,"785","ROSCOSMOS","Radiometer","MR-900","Scanning telephotometer",
281.00,"786","ROSCOSMOS","Radiometer","MR-900B","Scanning visual band telephotometer",
282.00,"790","ROSCOSMOS","Radiometer","MSU-E","Multispectral high-resolution electronic scanner",
283.00,"791","ROSCOSMOS","Radiometer","MSU-E1","Multispectral high-resolution electronic scanner",
284.00,"792","ROSCOSMOS","Radiometer","MSU-E2","Multispectral high-resolution electronic scanner",
285.00,"793","ROSCOSMOS","Radiometer","MSU-M",,
286.00,"794","ROSCOSMOS","Radiometer","MSU-S","Multispectral medium-resolution scanner",
287.00,"795","ROSCOSMOS","Radiometer","MSU-SK","Multispectral medium-resolution conical scanner",
288.00,"796","ROSCOSMOS","Radiometer","MSU-V","Multispectral high-resolution conical scanner",
289.00,"810","ROSCOSMOS","Radiometer","MTZA","Scanning microwave radiometer",
290.00,"815","ROSCOSMOS","Imaging multi-spectral radiometer (passive microwave)","MZOAS","Scanning microwave radiometer",
291.00,"820","ROSCOSMOS","Imaging multi-spectral radiometer (passive microwave)","R-225","Single channel microwave radiometer",
292.00,"821","ROSCOSMOS","Radiometer","R-400",,
293.00,"822","ROSCOSMOS","Radiometer","R-600","Single channel microwave radiometer",
294.00,"830","ROSCOSMOS","Radiometer","RMS","Radiation measurement system",
295.00,"835","ROSCOSMOS","Radiometer","TV camera",,
296.00,"836","ROSCOSMOS","Radiometer","SILVA",,
297.00,"840","ROSCOSMOS","Spectro-radiometer","SROSMO","Spectroradiometer for ocean monitoring",
298.00,"850","ROSCOSMOS","Spectrometer","BUFS-2","Backscatter spectrometer/2",
299.00,"851","ROSCOSMOS","Spectrometer","BUFS-4","Backscatter spectrometer/4",
300.00,"855","ROSCOSMOS","Spectrometer","ISTOK-1","Infrared spectrometer",
301.00,"856","ROSCOSMOS","Spectrometer","SFM-2","Spectrometer to measure direct solar radiation",
302.00,"857","ROSCOSMOS","Spectrometer","DOPI",,
303.00,"858","ROSCOSMOS","Spectrometer","KGI-4",,
304.00,"859","ROSCOSMOS","Spectrometer","Ozon-M",,
305.00,"860","ROSCOSMOS","Spectrometer","RMK-2",,
306.00,"900","NOAA","Radiometer","MAXIE","Magnetospheric atmospheric X-ray imaging experiment",
307.00,"901","NOAA","Radiometer","OLS","Operational linescan system",
308.00,"905","NOAA","Radiometer","SSM/I","Mission sensor microwave imager",
309.00,"906","NOAA","Radiometer","SSM/T-1","Mission sensor microwave temperature sounder",
310.00,"907","NOAA","Radiometer","SSM/T-2","Mission sensor microwave water vapour sounder",
311.00,"908","NOAA","Radiometer","SSMIS","Special sensor microwave imager sounder",
312.00,"910","NOAA","Radiometer","SXI","Solar X-ray imager",
313.00,"930","NOAA","Spectrometer","EHIC","Energetic heavy ion composition experiment",
314.00,"931","NOAA","Spectrometer","X-ray astronomy payload",,
315.00,"932","NRSCC","Imaging multi-spectral radiometer (vis/IR)","IVISSR (FY-2)","Improved multispectral visible and Infrared scan radiometer (5 channels)",
316.00,"933","NRSCC","Atmospheric temperature and humidity sounder","IRAS","Infrared atmospheric sounder",
317.00,"934","NRSCC","Atmospheric temperature and humidity sounder","MWAS","Microwave atmospheric sounder",
318.00,"935","NRSCC","Atmospheric temperature and humidity sounder","IMWAS","Improved Microwave atmospheric sounder",
319.00,"936","NRSCC","Atmospheric temperature and humidity sounder","MWHS","Microwave humidity sounder",
320.00,"937","NRSCC","Imaging multi-spectral radiometer (vis/IR)","MVIRS","Moderate resolution visible and infrared imaging spectroradiometer",
321.00,"938","NRSCC","Imaging multi-spectral radiometer (passive microwave)","MWRI","Microwave radiation imager",
322.00,"940","ROSCOSMOS","Atmospheric temperature and humidity sounder","MTVZA-OK","Scanning microwave radiometer",
323.00,"941","CNES","Atmospheric temperature and humidity sounder","SAPHIR",,
324.00,"942","CNES","Microwave imager","MADRAS","Microwave Analysis and Detection of Rain and Atmospheric Structures",
325.00,"943","CNSA","Scatterometer","SCAT (on CFOSAT)","Scatterometer",
326.00,"944","NOAA","Radar altimeter","ALT","Altimeter",
327.00,"945","NOAA","Earth radiation budget radiometer","TSIS","Total solar irradiance sensor",
328.00,"946","NOAA","Imaging multi-spectral radiometer (passive microwave)","CMIS","Conical-scanning microwave imager/sounder",
