CodeFigure,Meaning_fr,ChemicalFormula,Status
62005,Trihydrate d'acide nitrique,,Operational
62006,Dépôt sec de sulfate,,Operational
62007,Dépôt sec de mercure,,Operational
62008,Dépôt sec salin,,Operational
62009,Dépôt sec de carbone noir,,Operational
62010,Dépôt sec de particules organiques,,Operational
62011,Dépôt sec de particules primaires organiques,,Operational
62012,Dépôt sec de particules secondaires organiques,,Operational
62013,"Noir de carbone, hydrophile sec",,Operational
62014,"Noir de carbone, hydrophobe sec",,Operational
62015,"Particules organiques, hydrophiles sèches",,Operational
62016,"Particules organiques, hydrophobes sèches",,Operational
62017,"Nitrate, hydrophile sec",,Operational
62018,"Nitrate, hydrophobe sec",,Operational
62019,En réserve,,Operational
62020,Fumée - absorption élevée,,Operational
62021,Fumée - absorption faible,,Operational
62022,Aérosol - absorption élevée,,Operational
62023,Aérosol - absorption faible,,Operational
62024,En réserve,,Operational
62025,Cendre volcanique,,Operational
62026,Matière particulaire (MP),,Operational
62027,En réserve,,Operational
62028,Total aérosols hydrophiles,,Operational
62029,Total aérosols hydrophobes,,Operational
62030-62099,En réserve,,Operational
62100,Pollen d'aulne (Alnus),,Operational
62101,Pollen de bouleau (Betula),,Operational
62102,Pollen de châtaignier (Castanea),,Operational
62103,Pollen de charme (Carpinus),,Operational
62104,Pollen de noisetier (Corylus),,Operational
62105,Pollen de hêtre (Fagus),,Operational
62106,Pollen de frêne (Fraxinus),,Operational
62107,Pollen de pin (Pinus),,Operational
62108,Pollen de platane (Platanus),,Operational
62109,Pollen de peuplier (Populus),,Operational
62110,Pollen de chêne (Quercus),,Operational
62111,Pollen de saule (Salix),,Operational
62112,Pollen d'if (Taxus),,Operational
62113,Pollen de tilleul (Tilia),,Operational
62114,Pollen d'orme (Ulmus),,Operational
62115-62199,En réserve,,Operational
62200,Pollen d'ambroisie (Ambrosia),,Operational
62201,Pollen d'armoise (Artemisia),,Operational
62202,"Pollen de brassicacées (colza, brocoli, chou de Bruxelles, chou, chou-fleur, chou vert, chou frisé, chou-rave, moutarde, rutabaga) (Brassica)",,Operational
62203,Pollen de plantain (Plantago),,Operational
62204,Pollen de patience/d'oseille (Rumex),,Operational
62205,Pollen d'ortie (Urtica),,Operational
62206-62299,En réserve,,Operational
62300,Pollen de graminées (Poacea),,Operational
62301-62999,En réserve,,Operational
63000-65534,À usage expérimental à l'échelle locale,,Operational
65535,Valeur manquante,,Operational
